"","log2foldChange","pValues","FDR","celltype","gene"
"NCKAP12",-0.0257652963481227,0.00164286615940244,0.0331412486060986,"Oligo","NCKAP12"
"APPBP22",-0.0201211353537616,0.00126031432870142,0.028278424920326,"Oligo","APPBP22"
"RPL181",-0.0255978961625729,0.00196334392784592,0.0361704722899903,"Oligo","RPL181"
"MED293",-0.0213511240962756,0.000922756289359877,0.0236742725177884,"Oligo","MED293"
"RNF42",-0.0297044583101398,0.000172748507422493,0.00878704351464554,"Oligo","RNF42"
"TM7SF3",-0.0378670995881425,0.00155132790582334,0.0321427574633397,"Oligo","TM7SF3"
"SPA17",-0.0476122118356432,0.00142137870714921,0.0303976249105155,"Oligo","SPA17"
"ST3GAL62",-0.0426856649426117,0.000712904711506398,0.0203757494273726,"Oligo","ST3GAL62"
"TAF22",-0.0155798608815676,0.00143562310796681,0.0305314505478726,"Oligo","TAF22"
"SLC12A23",-0.0448747069374917,0.000166493911932786,0.0087186931759049,"Oligo","SLC12A23"
"CHI3L21",0.177391515943314,0.00178427257158587,0.0344486261264135,"Oligo","CHI3L21"
"TAF113",-0.0433443352448286,5.03646315295868e-05,0.00409641266339847,"Oligo","TAF113"
"GLP2R2",-0.0921095096560221,0.00315555380739703,0.0484872078794096,"Oligo","GLP2R2"
"SLK1",0.0198918487781885,0.00307979826450326,0.0478103505203243,"Oligo","SLK1"
"FAM107B",-0.0524110879181539,0.00257462587418504,0.0421054590825278,"Oligo","FAM107B"
"PDE4A3",-0.0754757018458034,3.77547837624916e-05,0.00347776143682084,"Oligo","PDE4A3"
"MPPED23",-0.0572550726959662,2.39409590518118e-06,0.000813513788580564,"Oligo","MPPED23"
"LRRC403",-0.0327747198563966,0.000737237558601139,0.0208375221969871,"Oligo","LRRC403"
"INPP5A",-0.0202786226995508,0.00268944676976328,0.0432432497964777,"Oligo","INPP5A"
"CYFIP12",-0.0594873864992271,0.00225653182934754,0.0390765891308644,"Oligo","CYFIP12"
"KCNAB21",-0.0371790071651024,0.0033307040414113,0.0497361284152541,"Oligo","KCNAB21"
"CDC422",-0.0503007353497917,0.00034206279186595,0.0130398948469356,"Oligo","CDC422"
"SNX131",-0.0163529567635372,0.00224787339481804,0.0390457730695023,"Oligo","SNX131"
"UBE2D12",-0.0420643470653435,0.00026842323477864,0.0113952036090472,"Oligo","UBE2D12"
"FBXW111",-0.0215371184026605,0.00162032661296943,0.0328599658341056,"Oligo","FBXW111"
"TMEM38A2",-0.0449011663384553,3.6089869456458e-05,0.00341503772873278,"Oligo","TMEM38A2"
