"","log2foldChange","pValues","FDR","celltype","gene"
"SPNS2",0.00954223848116219,0.00280824301046895,0.0333783876524148,"RG","SPNS2"
"AC004771.3",-0.00397646307661596,0.00166842545779213,0.0229191960121045,"RG","AC004771.3"
"AC004771.1",-0.00482677457815494,0.0022302373105668,0.0284571228694535,"RG","AC004771.1"
"DHX33",-0.00175340023240478,0.00459043023759644,0.0470720207630752,"RG","DHX33"
"SHBG1",-0.00725195880904532,0.000523355251387329,0.0103018013568816,"RG","SHBG1"
"TP53",-0.00505901184501578,0.000494507785132019,0.00996485662898367,"RG","TP53"
"ALOXE3",0.0127187586708866,5.0945554869749e-08,1.86889136625595e-05,"RG","ALOXE3"
"MYH10",-0.00321804021433906,0.000305901154266141,0.0070335477649712,"RG","MYH10"
"PMP22",0.00588451981416827,0.0014381575945649,0.0210647021178513,"RG","PMP22"
"AC005324.41",-0.000668861910257797,0.000741126711054165,0.0131891138292451,"RG","AC005324.41"
"AC015922.3",-0.0171553780639076,0.000222453803347585,0.00571755866215505,"RG","AC015922.3"
"CCDC144A1",-0.00614395500794694,0.00181833672874715,0.024397151403747,"RG","CCDC144A1"
"AC098850.31",-0.00591942563922512,0.00228485204612611,0.0290392101389933,"RG","AC098850.31"
"FAM83G",-0.01524170167044,0.00137154202164608,0.0203849537489773,"RG","FAM83G"
"MFAP4",0.0288322595378265,3.82116019509334e-06,0.000353369405649609,"RG","MFAP4"
"RNF112",0.0122196187355145,1.04386886103295e-05,0.000673124226946322,"RG","RNF112"
"LINC01563",0.0272191186553485,2.81821251032562e-08,1.51874569955872e-05,"RG","LINC01563"
"NOS2",-0.0159594451720293,6.72357156190102e-06,0.000507011716300625,"RG","NOS2"
"AC005726.1",-0.0028411934831942,0.00118372842834841,0.0184961864104276,"RG","AC005726.1"
"SPAG5",-0.00393721972898794,0.000141085788055321,0.00412548134963939,"RG","SPAG5"
"SEZ61",0.0330119223360977,6.30266123737126e-09,5.35427658065314e-06,"RG","SEZ61"
"BLMH",-0.00238554357768896,0.000265809423721147,0.00643242864810051,"RG","BLMH"
"CRLF3",-0.00275972998329099,0.00310956354301814,0.035774387133183,"RG","CRLF3"
"ATAD5",-0.0037984157688938,0.00123629067172822,0.0190313853571249,"RG","ATAD5"
"AC130324.31",-0.00474930714951351,0.0040158632562153,0.042775429579791,"RG","AC130324.31"
"OMG",0.0243220648079432,1.70376328156854e-05,0.00092387188179462,"RG","OMG"
"AC005899.6",0.00504304956011997,0.00120795146710178,0.0187296298083476,"RG","AC005899.6"
"CDK5R1",0.00585002378821651,0.00439121728051212,0.0457872339307146,"RG","CDK5R1"
"AC024614.4",0.0125754455795925,0.0012953918703634,0.0196143716505963,"RG","AC024614.4"
"SLFN12",-0.0188112087541299,4.71748149119391e-07,8.46054097215122e-05,"RG","SLFN12"
"SLFN13",-0.0239307551440534,5.28982354380339e-05,0.00205247696683968,"RG","SLFN13"
"NEUROD2",0.0418968900954248,3.75289725338295e-08,1.68265318241261e-05,"RG","NEUROD2"
"PPP1R1B",0.0145350515053568,0.000176834070958856,0.00488746359477207,"RG","PPP1R1B"
"THRA1",0.00548765509848837,2.15758198306006e-05,0.00108620871543049,"RG","THRA1"
"CDC6",-0.00415646475085172,0.00183876642492541,0.0246098912642795,"RG","CDC6"
"TOP2A",-0.00499744313320856,0.000513426993978079,0.0102311421108644,"RG","TOP2A"
"KRT101",0.000960638462207664,0.00320954921469826,0.0365856877644383,"RG","KRT101"
"EIF1",0.00279838336826261,0.00116542603148654,0.0182632442468197,"RG","EIF1"
"RAMP2",0.00996577539791912,2.33502851907026e-05,0.00112171712280693,"RG","RAMP2"
"RPL27",0.00331220884747897,0.00105613182898463,0.0169285241823643,"RG","RPL27"
