"","log2foldChange","pValues","FDR","celltype","gene"
"C2orf882",0.0515599343567372,0.000461798784692291,0.0165575980996435,"End","C2orf882"
"IGFBP54",0.164678113126538,0.000479769465690028,0.0166454368058105,"End","IGFBP54"
"TNS11",0.0463813371211685,0.000533300864558686,0.0176066762427547,"End","TNS11"
"NHEJ12",0.0514472906693886,4.44374295687664e-05,0.00378690220106331,"End","NHEJ12"
"SERPINE24",-0.0676785444588801,0.00128809646757275,0.0294190876639103,"End","SERPINE24"
"NYAP2",0.033779260795308,0.000470527981904449,0.0166454368058105,"End","NYAP2"
"GIGYF25",0.0163073006750727,2.21528331287848e-06,0.000722066674911493,"End","GIGYF25"
"AGAP1",0.0341269598861729,0.00302090742271806,0.0471271734277496,"End","AGAP1"
"CAMK13",0.0244380966474793,0.0018408453293239,0.0362437564580733,"End","CAMK13"
"PPARG4",0.0418878618245846,0.000834672881471479,0.0225808824183802,"End","PPARG4"
"RAF1",0.0103282977629391,0.00204496262191338,0.0383009139420177,"End","RAF1"
"WNT7A2",0.0720073497839154,0.000912926639983508,0.0237496261551533,"End","WNT7A2"
"CRTAP5",0.0626188281957241,7.27081161227945e-07,0.000431032679710566,"End","CRTAP5"
"CTDSPL",0.0320964978610716,0.000675475498743457,0.0203310681194785,"End","CTDSPL"
"ZNF6215",0.046697734965524,8.52127236784562e-07,0.000484114786398229,"End","ZNF6215"
"ZBTB472",0.0940675673456202,0.000435525146887721,0.0160496902103083,"End","ZBTB472"
"FYCO1",0.021849545322417,0.000708768576235398,0.0208290611177162,"End","FYCO1"
"LTF6",0.195673326003454,1.13694377688976e-11,1.55022283978919e-07,"End","LTF6"
"SETD24",0.0340370638441891,0.000109806322671692,0.00668396968584162,"End","SETD24"
"PLXNB1",0.0311110604665155,0.00236664762626601,0.0415840726599705,"End","PLXNB1"
"IP6K25",0.0204946179295842,5.17936087449852e-06,0.00121759630213426,"End","IP6K25"
"IMPDH25",-0.0357345223518317,0.00073021183518127,0.0212744409673005,"End","IMPDH25"
"MON1A1",0.0389590517144054,0.000940710184354677,0.0241555242253786,"End","MON1A1"
"HEMK13",-0.0284213474244823,0.00210054430498871,0.0385471773880973,"End","HEMK13"
"SPCS14",-0.0265273819538514,0.00144919071965985,0.0312590859504972,"End","SPCS14"
"SLMAP",0.0218780128553755,0.00293954945209563,0.0464569005828947,"End","SLMAP"
"SLC25A265",-0.0369279421602697,0.000513464830971111,0.0173043962845409,"End","SLC25A265"
"MITF6",0.055052757588685,2.01520656819096e-06,0.000722066674911493,"End","MITF6"
"PPP4R21",0.033381867899994,0.00185711152842427,0.0364587781105754,"End","PPP4R21"
"PDZRN35",0.0280582265543412,5.93424670427459e-05,0.0045456996524036,"End","PDZRN35"
"EPHA6",0.0204867195599208,0.00190156369742967,0.0367770510843312,"End","EPHA6"
"ACAD95",-0.0344139579134222,0.000505875434852638,0.0171156614248529,"End","ACAD95"
"MSL26",0.0370398566907024,1.55361043872229e-05,0.00220661232624775,"End","MSL26"
"PCCB5",-0.0257541438796052,0.00079018535518725,0.0219303822842801,"End","PCCB5"
"STAG13",0.0219129306272867,0.000108732510450092,0.00668396968584162,"End","STAG13"
"MRAS",0.0783851954775177,0.00219675612047911,0.0397516711922907,"End","MRAS"
"TFDP26",0.0960374881536215,2.99422291178786e-06,0.000843131902962774,"End","TFDP26"
